Altium Designer Pick and Place Locations


========================================================================================================================
File Design Information:

Date:       09.10.23
Time:       14:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator,""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"""
"J2,""615008137421"",""BottomLayer"",""615008137421"",""8,2300"",""59,5500"",""90"""
"F2,""01020071Z"",""BottomLayer"",""FP-102-MFG"",""16,0000"",""18,5000"",""270"""
"J1_2,""39531-1002"",""BottomLayer"",""FP-39531-1002-MFG"",""56,8500"",""19,5000"",""270"""
"P3,""1755752"",""BottomLayer"",""PHOE-1755752-4_V"",""4,9000"",""31,1200"",""90"""
"J4,""618009231221"",""BottomLayer"",""618009231221"",""42,1150"",""4,8200"",""180"""
"J1_4,""39531-1002"",""BottomLayer"",""FP-39531-1002-MFG"",""57,2000"",""48,0400"",""270"""
"J1_3,""39531-1002"",""BottomLayer"",""FP-39531-1002-MFG"",""57,0000"",""34,0400"",""270"""
"J1_1,""39531-1002"",""BottomLayer"",""FP-39531-1002-MFG"",""57,2000"",""62,0400"",""270"""
"F1,""01020071Z"",""BottomLayer"",""FP-102-MFG"",""16,0000"",""42,0000"",""90"""
"R33,""n.b."",""TopLayer"",""RESC2013X60X35NL10T20"",""8,3000"",""46,4000"",""270"""
"P6,""TSW-103-08-G-D"",""TopLayer"",""SMTC-TSW-103-08-X-D"",""33,2700"",""56,0000"",""90"""
"R18,""510R"",""TopLayer"",""RESC2013X60X35NL10T20"",""24,3000"",""42,2000"",""270"""
"R32,""1k"",""TopLayer"",""RESC2013X60X35NL10T20"",""39,3000"",""10,7000"",""270"""
"R31,""10k"",""TopLayer"",""RESC2013X60X35NL10T20"",""37,6000"",""14,0000"",""90"""
"R30,""1k"",""TopLayer"",""RESC2013X60X35NL10T20"",""42,1000"",""10,8000"",""270"""
"R29,""10k"",""TopLayer"",""RESC2013X60X35NL10T20"",""40,7000"",""14,0000"",""90"""
"R28,""1k"",""TopLayer"",""RESC2013X60X35NL10T20"",""44,9000"",""10,8000"",""270"""
"R27,""10k"",""TopLayer"",""RESC2013X60X35NL10T20"",""43,5000"",""14,0000"",""90"""
"R21,""1k"",""TopLayer"",""RESC2013X60X35NL10T20"",""47,6000"",""10,8000"",""270"""
"R20,""10k"",""TopLayer"",""RESC2013X60X35NL10T20"",""46,3000"",""14,0000"",""90"""
"R19,""510R"",""TopLayer"",""RESC2013X60X35NL10T20"",""16,7000"",""65,0000"",""0"""
"D9,""MMSZ3V6T1G"",""TopLayer"",""ONSC-SOD-123-2-425-04_V"",""40,7000"",""20,8000"",""90"""
"D8,""MMSZ3V6T1G"",""TopLayer"",""ONSC-SOD-123-2-425-04_V"",""43,6000"",""20,8000"",""90"""
"D7,""MMSZ3V6T1G"",""TopLayer"",""ONSC-SOD-123-2-425-04_V"",""46,4000"",""20,8000"",""90"""
"D6,""MMSZ3V6T1G"",""TopLayer"",""ONSC-SOD-123-2-425-04_V"",""49,3000"",""20,8000"",""90"""
"C19,""1uF"",""TopLayer"",""FP-C0805C-DN-MFG"",""39,3000"",""17,0000"",""90"""
"C18,""1uF"",""TopLayer"",""FP-C0805C-DN-MFG"",""42,1000"",""17,0000"",""90"""
"C17,""1uF"",""TopLayer"",""FP-C0805C-DN-MFG"",""44,9000"",""17,0000"",""90"""
"C16,""1uF"",""TopLayer"",""FP-C0805C-DN-MFG"",""47,6000"",""17,0000"",""90"""
"C14,""1uF"",""TopLayer"",""FP-CGA3E-0_3-0_1-IPC_A"",""26,1000"",""42,3000"",""90"""
"R17,""N.B."",""TopLayer"",""RESC2013X60X35NL10T20"",""62,5000"",""6,6000"",""0"""
"R16,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""24,8000"",""34,1000"",""180"""
"R15,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""33,0000"",""23,3000"",""0"""
"R14,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""31,6000"",""19,7000"",""0"""
"R13,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""28,7000"",""23,3000"",""180"""
"R12,""n.b."",""TopLayer"",""RESC2013X60X35NL10T20"",""33,0000"",""25,0000"",""180"""
"R11,""n.b."",""TopLayer"",""RESC2013X60X35NL10T20"",""31,6000"",""21,4000"",""180"""
"R10,""n.b."",""TopLayer"",""RESC2013X60X35NL10T20"",""28,7000"",""25,2000"",""0"""
"U3,""LM7805"",""TopLayer"",""FAIR-TO-220-3"",""12,2000"",""3,0000"",""270"""
"U2,""SN74LVC2T45DCUR"",""TopLayer"",""FP-DCU0008A-IPC_C"",""35,6000"",""31,9000"",""270"""
"R35,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""27,3000"",""32,3000"",""90"""
"R34,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""25,2000"",""31,3000"",""90"""
"R5,""1k"",""TopLayer"",""RESC2013X60X35NL10T20"",""30,3000"",""46,7000"",""270"""
"IC1,""ATSAMD21G18A-48"",""TopLayer"",""TQFP48-Atmel"",""36,5000"",""39,5000"",""0"""
"Y1,""ABS06-32.768KHZ-9-T"",""TopLayer"",""FP-ABS06-MFG"",""28,2000"",""42,3000"",""90"""
"U4,""MCP1603T-330I/OS"",""TopLayer"",""FP-C04-128-MFG"",""16,6000"",""26,8000"",""90"""
"U1,""CAT24C512WI-GT3"",""TopLayer"",""FP-751BD-01-IPC_C"",""31,5000"",""30,4000"",""90"""
"SW1,""FSMSM"",""TopLayer"",""TECO-FSMSM-2_V"",""45,6000"",""50,8000"",""180"""
"R26,""N.B."",""TopLayer"",""RESC2013X60X35NL10T20"",""28,1000"",""50,7000"",""0"""
"R25,""N.B."",""TopLayer"",""RESC2013X60X35NL10T20"",""28,1000"",""52,9000"",""0"""
"R24,""200k"",""TopLayer"",""RESC2013X60X35NL10T20"",""19,0780"",""50,5000"",""90"""
"R23,""510R"",""TopLayer"",""RESC2013X60X35NL10T20"",""16,8780"",""52,9000"",""270"""
"R22,""510R"",""TopLayer"",""RESC2013X60X35NL10T20"",""21,0000"",""47,2000"",""180"""
"R9,""4k7"",""TopLayer"",""RESC2013X60X35NL10T20"",""40,8000"",""44,7000"",""90"""
"R8,""510R"",""TopLayer"",""RESC2013X60X35NL10T20"",""40,8000"",""47,9000"",""90"""
"R7,""39R"",""TopLayer"",""RESC2013X60X35NL10T20"",""42,7000"",""46,5000"",""90"""
